,Okres
425,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
426,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
427,"Žďár nad Sázavou
       Litoměřice
          Příbram
       Kutná Hora"
428,Sokolov
429,"Blansko
 Benešov"
430,Hlavní město Praha
431,Hlavní město Praha
432,Hlavní město Praha
433,Kladno
434,Brno-město
435,Brno-město
436,Brno-město
437,NA
438,NA
439,NA
440,NA
441,NA
442,NA
443,NA
444,Hlavní město Praha
445,Hlavní město Praha
446,Hlavní město Praha
447,Hlavní město Praha
448,Hlavní město Praha
449,Hlavní město Praha
450,Hlavní město Praha
451,Hlavní město Praha
452,Hlavní město Praha
453,Hlavní město Praha
454,Kladno
455,Karlovy Vary
456,Karlovy Vary
457,Znojmo
458,NA
459,NA
460,NA
461,NA
462,NA
463,Plzeň-město
464,Karlovy Vary
465,Liberec
466,NA
467,Plzeň-město
468,Plzeň-město
469,Plzeň-město
470,Plzeň-město
471,Plzeň-město
472,NA
473,NA
474,NA
475,NA
476,NA
477,NA
478,NA
479,NA
480,Mladá Boleslav
481,Žďár nad Sázavou
482,Žďár nad Sázavou
483,Žďár nad Sázavou
484,Žďár nad Sázavou
485,Náchod
486,Louny
487,Louny
488,Louny
489,Louny
490,České Budějovice
491,České Budějovice
492,Hlavní město Praha
493,Hlavní město Praha
494,Hlavní město Praha
495,Hlavní město Praha
496,"Rychnov nad Kněžnou
          Strakonice"
497,Most
498,Náchod
499,"Blansko
 Benešov"
500,Hlavní město Praha
501,Hlavní město Praha
502,Hlavní město Praha
503,Hlavní město Praha
504,Hlavní město Praha
505,Hlavní město Praha
506,Hlavní město Praha
507,Hlavní město Praha
508,"Chrudim
  Kladno"
509,"Chrudim
  Kladno"
510,"Chrudim
  Kladno"
511,"Chrudim
  Kladno"
512,"České Budějovice
         Rokycany"
513,Brno-město
514,NA
515,NA
516,Ústí nad Orlicí
517,Ústí nad Orlicí
518,Ústí nad Orlicí
519,Ústí nad Orlicí
520,Ústí nad Orlicí
521,Ústí nad Orlicí
522,Frýdek-Místek
523,"Plzeň-jih
 Pelhřimov"
524,NA
525,NA
526,NA
527,Pelhřimov
528,Pelhřimov
529,Pelhřimov
530,Jihlava
531,Jičín
532,Jičín
533,Jičín
534,Brno-město
535,Pelhřimov
536,NA
537,Ústí nad Orlicí
538,Ústí nad Orlicí
539,Plzeň-město
540,NA
541,Hradec Králové
542,Nymburk
543,Plzeň-město
544,NA
545,NA
546,Pardubice
547,Třebíč
548,NA
549,České Budějovice
550,České Budějovice
551,Znojmo
552,Chomutov
553,"Chrudim
 Hodonín
 Blansko"
554,Cheb
555,Cheb
556,Pelhřimov
557,Hlavní město Praha
558,Hlavní město Praha
559,Hlavní město Praha
560,Hlavní město Praha
561,Hlavní město Praha
562,Hlavní město Praha
563,Hlavní město Praha
564,NA
565,NA
566,NA
567,NA
568,NA
569,NA
570,NA
571,NA
572,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
573,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
574,"Chrudim
       Plzeň-jih
 Ústí nad Orlicí"
575,Náchod
576,Náchod
577,Náchod
578,Náchod
579,Most
580,Most
581,Most
582,Most
583,NA
584,NA
585,NA
586,"Kladno
   Pardubice
 Plzeň-sever
     Olomouc
      Náchod
     Klatovy"
587,Kladno
588,Semily
589,Semily
590,NA
591,NA
592,NA
593,NA
594,NA
595,Opava
596,Opava
597,NA
598,Brno-město
