NAZEV,OKRES,KRAJ
Chvalnov-Lísky,Kroměříž,Zlínský kraj
Chvalovice,Znojmo,Jihomoravský kraj
Chvalovice,Prachatice,Jihočeský kraj
Chvalšiny,Český Krumlov,Jihočeský kraj
Chvalčov,Kroměříž,Zlínský kraj
Chvalíkovice,Opava,Moravskoslezský kraj
Chvatěruby,Mělník,Středočeský kraj
Chvojenec,Pardubice,Pardubický kraj
Chválenice,Plzeň-město,Plzeňský kraj
Chyjice,Jičín,Královéhradecký kraj
Chyše,Karlovy Vary,Karlovarský kraj
Chyšky,Písek,Jihočeský kraj
Chyšná,Pelhřimov,Kraj Vysočina
Chyňava,Beroun,Středočeský kraj
Chářovice,Benešov,Středočeský kraj
Chřenovice,Havlíčkův Brod,Kraj Vysočina
Chřibská,Děčín,Ústecký kraj
Chříč,Plzeň-sever,Plzeňský kraj
Chýnice,Praha-západ,Středočeský kraj
Chýnov,Tábor,Jihočeský kraj
Chýně,Praha-západ,Středočeský kraj
Chýstovice,Pelhřimov,Kraj Vysočina
Chýšť,Pardubice,Pardubický kraj
Cidlina,Třebíč,Kraj Vysočina
Cikháj,Žďár nad Sázavou,Kraj Vysočina
Citice,Sokolov,Karlovarský kraj
Citonice,Znojmo,Jihomoravský kraj
Citov,Přerov,Olomoucký kraj
Cizkrajov,Jindřichův Hradec,Jihočeský kraj
Cotkytle,Ústí nad Orlicí,Pardubický kraj
Crhov,Blansko,Jihomoravský kraj
Ctiboř,Tachov,Plzeňský kraj
Ctiboř,Benešov,Středočeský kraj
Ctidružice,Znojmo,Jihomoravský kraj
Ctiměřice,Mladá Boleslav,Středočeský kraj
Ctiněves,Litoměřice,Ústecký kraj
Ctětín,Chrudim,Pardubický kraj
Cvikov,Česká Lípa,Liberecký kraj
Cvrčovice,Brno-venkov,Jihomoravský kraj
Cvrčovice,Kladno,Středočeský kraj
Církvice,Kutná Hora,Středočeský kraj
Církvice,Kolín,Středočeský kraj
Císařov,Přerov,Olomoucký kraj
Cítoliby,Louny,Ústecký kraj
Cítov,Mělník,Středočeský kraj
Daleké Dušníky,Příbram,Středočeský kraj
Dalešice,Jablonec nad Nisou,Liberecký kraj
Dalešice,Třebíč,Kraj Vysočina
Dalečín,Žďár nad Sázavou,Kraj Vysočina
Dalovice,Mladá Boleslav,Středočeský kraj
Dalovice,Karlovy Vary,Karlovarský kraj
