,Name,Year,Price,Mileage,Engine,Gearbox,Body,Location
472,"Volkswagen Touran, 1.6 TDI DPF BMT Trendline",2012,155 000 Kč,233 902 km,"Nafta, 77 kW",Manuální,MPV,Vysočina
473,"Renault Scenic, 1.5dCi 81kw DynamiqueNAVI",2012,149 900 Kč,190 100 km,"Nafta, 81 kW",Manuální,MPV,Královéhradecký
474,"Toyota Avensis, 1.8 ValveMatic KOMBI",2018,414 000 Kč,64 000 km,"Benzín, 108 kW",Manuální,kombi,Ústecký
475,"Toyota RAV4, 2.5 HYBRID 114kW",2017,545 000 Kč,87 000 km,"Hybrid, 114 kW",Automatická,SUV,Ústecký
476,"Fiat Qubo, 1.4i 54kW",2009,89 600 Kč,142 000 km,"Benzín, 54 kW",Manuální,MPV,Ústecký
477,"Toyota Avensis, 2.0 ValveMatik 112kW KOMBI",2016,388 000 Kč,78 000 km,"Benzín, 112 kW",Automatická,kombi,Ústecký
478,"Volkswagen Golf, V 2.0TFSI GTI Edition 30",2007,199 900 Kč,248 500 km,"Benzín, 169 kW",Automatická,hatchback,Jihočeský
479,"Seat Alhambra, 2.0TDI DSG Style",2016,379 900 Kč,223 000 km,"Nafta, 110 kW",Automatická,VAN,Jihočeský
480,"Renault Scenic, 1,6i NAVIGACE,SENZORY",2004,47 900 Kč,176 001 km,"Benzín, 83 kW",Manuální,hatchback,Praha
481,"Volkswagen Golf Plus, 1.2 TSI 77kW ČR",2010,149 900 Kč,149 911 km,"Benzín, 77 kW",Manuální,hatchback,Praha
482,"BMW Řada 3, 325i 160kW AUTOMAT Kůže",2005,139 900 Kč,246 001 km,"Benzín, 160 kW",Automatická,sedan,Praha
483,"Citroen C4 Picasso, 2.0 HDi Po rozvodech AUTOMAT",2008,89 900 Kč,253 001 km,"Nafta, 100 kW",Automatická,kombi,Praha
484,"Nissan Primera, 2.0i",2002,44 999 Kč,161 200 km,"Benzín, 103 kW",Manuální,hatchback,Královéhradecký
485,"Volkswagen Golf, 1.6 77kW DSG Servisní kniha",2010,199 000 Kč,147 921 km,"Nafta, 77 kW",Automatická,kombi,Ústecký
486,"Peugeot Ostatní, 1.4 Trendy",2011,44 900 Kč,259 200 km,"Benzín, 54 kW",Manuální,hatchback,Královéhradecký
487,"Mercedes-Benz Třída C, C kombi 220d 4Matic ,Burmester",2019,669 990 Kč,182 000 km,"Nafta, 143 kW",Automatická,kombi,Středočeský
488,"Škoda Octavia, III 1.4 TSi CNG",2018,284 000 Kč,281 000 km,81 kW,Manuální,liftback,Praha
489,"Mazda RX-8, 1.3i 170kW ČR 39 000km",2008,379 000 Kč,39 000 km,"Benzín, 170 kW",Manuální,kupé,Praha
490,"Škoda Superb, 2.0 TDi 4x4 DSG,Xenon,Panorama",2015,399 000 Kč,213 000 km,"Nafta, 140 kW",Automatická,kombi,Praha
491,"Toyota Avensis, 2.0 D-4D 93kW",2011,159 000 Kč,204 000 km,"Nafta, 93 kW",Manuální,kombi,Praha
492,"Volkswagen Passat, 2.0 TDi Highline",2011,220 000 Kč,194 000 km,"Nafta, 103 kW",Manuální,kombi,Praha
493,"Škoda Octavia, RS 2.0TDi,135kW,DSG",2017,423 900 Kč,122 300 km,"Nafta, 135 kW",Automatická,kombi,Praha
494,"Volkswagen Caravelle, 2.TDi,DSG,9-míst",2012,299 900 Kč,619 000 km,"Nafta, 103 kW",Automatická,MPV,Praha
495,"Ford S-Max, 2.0TDC i,ČR,Titanium",2009,129 900 Kč,313 000 km,"Nafta, 103 kW",Automatická,MPV,Praha
496,"Dacia Ostatní, 1,5 DCI 4 X 4 KLIMA",2011,184 000 Kč,190 000 km,"Nafta, 81 kW",,kombi,Středočeský
497,"Citroen C5, 1.6 HDI  KLIMA",2005,44 000 Kč,267 000 km,"Nafta, 80 kW",Manuální,kombi,Středočeský
498,"Ford Transit Custom, 2.2 TDCI 9 MÍST KLIMA",2013,355 000 Kč,174 000 km,"Nafta, 74 kW",Manuální,kombi,Středočeský
499,"Ford Transit Custom, 2.2 TDCI 92 KW 9 MÍST",2013,349 000 Kč,224 000 km,"Nafta, 92 kW",Manuální,kombi,Středočeský
500,"Nissan Note, 1,4i",2006,47 000 Kč,229 700 km,"Benzín, 65 kW",Manuální,kombi,Jihočeský
501,"Land Rover Freelander, 2.2 TD4  4x4 Automat",2008,188 900 Kč,174 000 km,"Nafta, 118 kW",Automatická,terénní,Jihomoravský
502,"Renault R5, 1.1i Five",1985,39 000 Kč,151 700 km,"Benzín, 34 kW",Manuální,hatchback,Pardubický
503,"Audi A4, 1.8T 120KW",2004,109 000 Kč,220 200 km,"Benzín, 120 kW",Manuální,kombi,Pardubický
504,"Hyundai i30, 1.6 99KW odpočet dph",2014,219 900 Kč,83 095 km,"Benzín, 99 kW",Manuální,kombi,
505,"Volkswagen Tiguan, 1.4tsi",2013,369 000 Kč,74 500 km,"Benzín, 90 kW",,VAN,
506,"Peugeot 406, 2.0 HDI",2000,34 000 Kč,360 110 km,"Nafta, 66 kW",Manuální,sedan,
507,"Renault Scenic, 1.9TDCI",2005,49 000 Kč,240 300 km,"Nafta, 85 kW",Manuální,MPV,
508,"BMW Řada 3, 2.0 D XDRIVE",2013,319 000 Kč,98 000 km,"Nafta, 135 kW",Automatická,kupé,
509,"Ford Focus, 1.6 16V GHIA LPG",2011,99 000 Kč,252 000 km,"Benzín, 74 kW",Manuální,hatchback,
510,"Mercedes-Benz Ostatní, SLK 200 BlueEFFICIENCY",2013,480 000 Kč,111 615 km,"Benzín, 135 kW",Automatická,kabriolet,Moravskoslezský
511,"BMW Řada 5, 525dD 130kW",2006,119 900 Kč,350 461 km,"Nafta, 130 kW",Automatická,sedan,Vysočina
512,"Renault Megane, 1.5 dCi kombi",2007,49 990 Kč,187 910 km,"Nafta, 78 kW",Manuální,kombi,Liberecký
513,"Škoda Octavia, 2.0 TDI RS DSG",2016,479 000 Kč,112 000 km,"Nafta, 135 kW",Automatická,hatchback,Jihomoravský
514,"Audi A6, 3.0TDi 165Kw QUATTRO  NAVI",2005,128 000 Kč,351 000 km,"Nafta, 165 kW",Automatická,kombi,Moravskoslezský
515,"Škoda Fabia, 1.4 i Klima",2007,119 999 Kč,118 000 km,"Benzín, 63 kW",Manuální,hatchback,Vysočina
516,"Renault Espace, 1.9 dCi LONG 7míst Authentiqu",2005,14 000 Kč,253 000 km,"Nafta, 88 kW",Manuální,kombi,Vysočina
517,"Škoda Fabia, 1.2 TSi 58 tis. Km",2015,179 000 Kč,58 300 km,"Benzín, 63 kW",Manuální,hatchback,Vysočina
518,"Opel Zafira, 1.6 7.Míst",2009,85 000 Kč,185 311 km,"Benzín, 85 kW",Manuální,kombi,Vysočina
519,"Suzuki Jimny, 1.3 63 kW 4x4 Serviska",2010,179 000 Kč,125 033 km,"Benzín, 63 kW",Manuální,hatchback,Královéhradecký
520,"Chevrolet Aveo, 1.2 51 kW KLIMA Serviska",2013,79 900 Kč,158 089 km,"Benzín, 51 kW",Manuální,hatchback,Královéhradecký
521,"Seat Ibiza, 1.6 TDI 77 kW Digiklima Servis",2011,89 900 Kč,199 120 km,"Nafta, 77 kW",Manuální,hatchback,Královéhradecký
522,"Volkswagen Golf Plus, 1.9 TDI, ESP,AUT.KLIMA,BEZ DPF",2005,109 900 Kč,188 483 km,"Nafta, 77 kW",Manuální,hatchback,Jihomoravský
523,"Volkswagen Golf, 1.9 tdi",,49 900 Kč,279 500 km,"Nafta, 66 kW",,hatchback,Vysočina
524,"Volkswagen Sharan, 2.0i 85kW 6 rychlostí",2003,99 990 Kč,138 196 km,"Benzín, 85 kW",Manuální,MPV,Jihočeský
525,"Volvo V60, 2.0 D3 V5 120kW",2012,209 900 Kč,269 201 km,"Nafta, 120 kW",Manuální,kombi,Pardubický
526,"Škoda Yeti, 1.6TDi 77kW -1.MAJITEL",2013,199 900 Kč,199 805 km,"Nafta, 77 kW",Manuální,SUV,Pardubický
527,"Volkswagen Golf, 1.2TSi Climatronic,6-ti kvalt",2011,159 950 Kč,162 948 km,"Benzín, 77 kW",Manuální,kombi,Plzeňský
528,"Mitsubishi Colt, 1,5DCi 70kW",2005,69 000 Kč,121 200 km,"Nafta, 70 kW",,hatchback,Jihomoravský
529,"BMW Řada 3, 318d Touring",2002,89 000 Kč,179 429 km,"Nafta, 85 kW",Manuální,kombi,Královéhradecký
530,"BMW Řada 3, 325i 160KW ALU17 TOPSTAV SERVI",2009,189 000 Kč,170 717 km,"Benzín, 160 kW",Manuální,kombi,Středočeský
531,"Peugeot 307, 1.6 HDI 16V SW",2006,55 000 Kč,260 019 km,"Nafta, 80 kW",Manuální,kombi,Plzeňský
532,"Ford Fusion, 1.25i 55kW, jen 135tis km",2006,69 900 Kč,135 351 km,"Benzín, 55 kW",Manuální,MPV,Ústecký
533,"Škoda Fabia, 1.4i 16V AMBIENTE",2009,104 900 Kč,152 371 km,"Benzín, 63 kW",Manuální,hatchback,Ústecký
534,"BMW Ostatní, E3   2500",1973,130 000 Kč,9 999 999 km,"Benzín, 110 kW",Automatická,sedan,Pardubický
535,"Porsche Boxster, 2.7",2000,319 000 Kč,174 000 km,"Benzín, 162 kW",,kabriolet,Vysočina
536,"Škoda Octavia, 2,0 TFSI RS",2007,139 000 Kč,138 300 km,"Benzín, 147 kW",Manuální,kombi,Liberecký
537,"BMW X3, 2.0d Xdr,135kW,4x4,Xenon",2011,389 999 Kč,124 291 km,"Nafta, 135 kW",Manuální,SUV,Jihočeský
538,"Volkswagen Golf, 1,6TDi 77kW,Navi,Climatr,Alu,P",2012,189 999 Kč,188 526 km,"Nafta, 77 kW",Manuální,kombi,Jihočeský
539,"BMW Řada 3, E90 320d 7/2005 XENON",2005,0 Kč,212 000 km,"Nafta, 120 kW",Manuální,sedan,Jihomoravský
540,"Seat Ibiza, 1,4 16V",2005,54 900 Kč,158 250 km,"Benzín, 55 kW",Manuální,hatchback,Ústecký
541,"Renault Modus, 1.5 DCi",,45 000 Kč,161 219 km,"Nafta, 50 kW",Manuální,MPV,Jihomoravský
542,"Škoda Fabia, II 1.2 TSI Style kombi",2010,139 000 Kč,87 245 km,"Benzín, 63 kW",Manuální,kombi,Karlovarský
543,"Volkswagen Golf, VII 1.6 TDI Comfortline",2016,239 000 Kč,210 949 km,"Nafta, 81 kW",Manuální,kombi,Karlovarský
544,"Škoda Fabia, 1,0 MPI",2019,189 000 Kč,6 700 km,"Benzín, 44 kW",Manuální,hatchback,Vysočina
545,"Renault Thalia, 1.2i KLIMA ČR",2008,34 999 Kč,97 630 km,"Benzín, 55 kW",Manuální,sedan,Praha
546,"Ford Fiesta, 1.2 KLIMA ČR 1.MAJITEL",2014,199 999 Kč,49 878 km,"Benzín, 44 kW",Manuální,hatchback,Praha
547,"Audi A4, 2.0 TDI QUATTRO S TRONIC LED �",2016,639 999 Kč,74 348 km,"Nafta, 140 kW",Automatická,kombi,Praha
548,"Audi Q3, 2.0 TDI QUATTRO S-TRONIC ČR",2017,619 999 Kč,79 958 km,"Nafta, 110 kW",Automatická,SUV,Praha
549,"Peugeot 3008, 1.6 i 88kW ČR SERVISNÍ KNÍ�",2009,149 999 Kč,161 976 km,"Benzín, 88 kW",Manuální,SUV,Praha
550,"Kia Soul, 1.6 GDI 97kW ČR 1.MAJITEL",2017,339 999 Kč,77 846 km,"Benzín, 97 kW",Manuální,hatchback,Praha
551,"BMW i8, ČR 1.MAJITEL ZÁRUKA",2016,2 299 999 Kč,32 000 km,"Hybrid, 170 kW",Automatická,kupé,Praha
552,"Škoda Octavia, 1.9 TDI ELEGANCE COMBI 81KW",2002,59 990 Kč,270 859 km,"Nafta, 81 kW",Manuální,kombi,Ústecký
553,"Peugeot 206, 1.1i",2002,34 000 Kč,138 751 km,"Benzín, 44 kW",Manuální,hatchback,Ústecký
554,"Peugeot 2008, ACTIVE 1.6 e-HDI FAP 92 k S&am",2015,209 000 Kč,160 780 km,"Nafta, 68 kW",Manuální,SUV,Ústecký
555,"Peugeot 407, 1.8 16V",2005,68 900 Kč,161 532 km,"Benzín, 85 kW",Manuální,kombi,Ústecký
556,"Volkswagen Tiguan, 2.0  TDI 4X4 DSG",2011,319 900 Kč,131 843 km,"Nafta, 110 kW",Automatická,SUV,Ústecký
557,"Chevrolet Spark, 0.8 S",2006,17 900 Kč,87 600 km,"Benzín, 38 kW",Manuální,hatchback,Ústecký
558,"Peugeot 207, 1.4i",2010,89 000 Kč,125 622 km,"Benzín, 54 kW",Manuální,kombi,Ústecký
559,"Volkswagen Passat, 2.0 TDi 4Motion xenon NAVI",2014,319 900 Kč,161 470 km,"Nafta, 103 kW",Manuální,kombi,Pardubický
560,"Citroen Berlingo, 1.6i MULSTISPACE,SERVISKA",2012,169 900 Kč,158 830 km,"Benzín, 88 kW",Manuální,kombi,Pardubický
561,"Škoda Rapid, 1.2 TSI 81kW Monte Carlo",2016,299 900 Kč,84 694 km,"Benzín, 81 kW",Manuální,hatchback,Pardubický
562,"Suzuki SX4, 1.6i serviska,auto.klima",2011,189 900 Kč,66 119 km,"Benzín, 88 kW",Manuální,hatchback,Pardubický
563,"Audi A2, 1.4i Digi klima",2001,65 000 Kč,148 600 km,"Benzín, 55 kW",Manuální,hatchback,Královéhradecký
564,"Citroen DS3, 1.6HDi",2011,129 900 Kč,178 800 km,"Nafta, 68 kW",Manuální,hatchback,Královéhradecký
565,"Volkswagen Golf, 1.9TDi Digi klima,serviska",2005,94 900 Kč,218 996 km,"Nafta, 77 kW",Manuální,hatchback,Královéhradecký
566,"Renault Espace, 1.9DCi",2005,53 000 Kč,257 100 km,"Nafta, 85 kW",Manuální,kombi,Královéhradecký
567,"Volkswagen Tiguan, 2.0TDi 103kW 4x4 DSG",2008,229 000 Kč,208 697 km,"Nafta, 103 kW",Automatická,SUV,Ústecký
568,"Volkswagen Caddy, 2.0TDi 103kW MAXI 5 MÍST",2011,299 000 Kč,225 390 km,"Nafta, 103 kW",Manuální,kombi,Ústecký
569,"Volkswagen Caddy, 2.0TDi 103kW MAXI 7 MÍST",2013,299 000 Kč,198 089 km,"Nafta, 103 kW",Manuální,kombi,Ústecký
570,"Audi S7, 4.0 TFSI 309kW quattro odp.DPH",2013,685 000 Kč,123 187 km,"Benzín, 309 kW",Automatická,liftback,Ústecký
571,"Škoda Octavia, 1,6 TDi,77kW, SERVISKA",2012,179 000 Kč,176 450 km,"Nafta, 77 kW",,kombi,Ústecký
572,"Volkswagen Golf, VI KOMBI 1,4 TSi AUTOMAT",2010,189 900 Kč,175 000 km,"Benzín, 90 kW",Automatická,kombi,Ústecký
573,"Peugeot 206, 1.1",2002,17 000 Kč,110 512 km,"Benzín, 44 kW",,hatchback,Liberecký
574,"Volkswagen Polo, 1,6i",1997,29 000 Kč,171 015 km,"Benzín, 55 kW",,sedan,Královéhradecký
575,"Volkswagen Golf, 1.6 i74kw 170000km",1999,14 900 Kč,170 000 km,"Benzín, 74 kW",Manuální,hatchback,Středočeský
576,"Škoda Fabia, 1.4i 16V 63kW RS-PACKET 1.MAJ",2013,199 900 Kč,82 131 km,"Benzín, 63 kW",Manuální,kombi,Liberecký
577,"Škoda Fabia, 1.2 HTP 44kW 1.MAJITEL KLIMA",2011,125 000 Kč,35 256 km,"Benzín, 44 kW",,hatchback,Liberecký
578,"Citroen C3 Picasso, 1.4i",2009,109 900 Kč,104 965 km,"Benzín, 70 kW",Manuální,MPV,Vysočina
579,"Chevrolet Captiva, 2.2VCDi -7 míst",2013,199 900 Kč,143 235 km,"Nafta, 120 kW",Manuální,SUV,Vysočina
580,"Fiat Freemont, 2.0JTD  AWD",2015,299 900 Kč,186 894 km,"Nafta, 125 kW",Automatická,SUV,Vysočina
581,"Opel Corsa, 1.3CDTi/70 kw",2010,69 900 Kč,161 674 km,"Nafta, 70 kW",Manuální,hatchback,Vysočina
582,"Nissan GT-R, 404 kW",2011,1 390 000 Kč,110 173 km,"Benzín, 404 kW",Automatická,kupé,Moravskoslezský
583,"Hyundai Ostatní, 1.6 GDI HEV STYLE PREMIUM",2020,669 800 Kč,20 000 km,"Hybrid, 77 kW",Automatická,liftback,Moravskoslezský
584,"Hyundai i40, 1.6 CRDi 100kW, Success Winter",2018,449 800 Kč,120 000 km,"Nafta, 100 kW",Manuální,kombi,Moravskoslezský
585,"Peugeot 306, 1.4 XT,klima,servis,alu",1993,9 007 Kč,187 038 km,"Benzín, 55 kW",Manuální,hatchback,Pardubický
586,"Nissan Navara, 2.5 DCI 140kW",2015,439 000 Kč,121 113 km,"Nafta, 140 kW",,pick up,Jihomoravský
587,"Ford Focus, 2,0i GHIA AUTOMAT SUPER STAV",2002,56 900 Kč,111 129 km,"Benzín, 96 kW",Automatická,sedan,Praha
588,"Kia Sorento, 2,5CRDi PR.SERVIS KIA,NOVÁ ST",2006,114 900 Kč,182 278 km,"Nafta, 103 kW",,terénní,Ústecký
589,"Škoda Citigo, 1,0MPi STAV NOVÉHO VOZU,PO SE",2015,171 900 Kč,41 375 km,"Benzín, 44 kW",Manuální,hatchback,Ústecký
590,"Toyota Avensis, 2,2D4-D,PLNÁ VÝBAVA,TOP STAV",2007,121 900 Kč,233 955 km,"Nafta, 130 kW",,liftback,Ústecký
591,"Audi A3, 1,8 20V SUPER STAV,NOVÁ STK",2001,64 900 Kč,194 772 km,"Benzín, 92 kW",,hatchback,Ústecký
592,"Volvo V70, 2,4D5 4x4 SUPER STAV,PO SERVIS",2005,89 900 Kč,393 418 km,"Nafta, 136 kW",Manuální,kombi,Ústecký
593,"Hyundai i20, 1.2i, Servisní kniha",2009,59 900 Kč,206 000 km,"Benzín, 57 kW",Manuální,hatchback,Plzeňský
594,"Dacia Solenza, 1.4i",2003,14 000 Kč,126 000 km,"Benzín, 55 kW",Manuální,liftback,Plzeňský
595,"Škoda Roomster, 1.6 TDI Noire,klimatronik",2014,179 900 Kč,178 436 km,"Nafta, 77 kW",Manuální,MPV,Jihočeský
596,"Renault Kangoo, 1.6 16V",2005,64 900 Kč,217 836 km,"Benzín, 70 kW",Manuální,MPV,Jihočeský
597,"Land Rover Range Rover Evoque, 110 kW",2015,761 090 Kč,110 000 km,"Nafta, 110 kW",Automatická,SUV,Moravskoslezský
598,"Ford C-Max, 1.8 Duratorq TDCi Ghia",2010,79 900 Kč,204 092 km,"Nafta, 85 kW",,kombi,Moravskoslezský
599,"Tesla Model X, P100D  REZERVOVÁNO",2017,1 895 000 Kč,92 500 km,566 kW,Automatická,SUV,Vysočina
600,"Volvo XC70, 2,4 D4/ČR/servis",2013,289 000 Kč,270 000 km,"Nafta, 120 kW",Manuální,kombi,Vysočina
601,"Škoda Fabia, 1.4 16V Classic Combi",2004,44 000 Kč,176 363 km,"Benzín, 55 kW",Manuální,kombi,Ústecký
602,"Suzuki SX4, 1.6 Streetline Club",2010,195 000 Kč,61 000 km,"Benzín, 88 kW",,kombi,Královéhradecký
603,"Land Rover Discovery, 2.5 td5",2003,259 000 Kč,248 000 km,"Nafta, 102 kW",Manuální,terénní,Královéhradecký
604,"Volkswagen Golf, 1.4i Trendline",2009,149 000 Kč,177 000 km,"Benzín, 59 kW",Manuální,hatchback,Královéhradecký
605,"Volkswagen Tiguan, 2.0TDi Highline DSG LED SVĚTL",2017,579 000 Kč,132 489 km,"Nafta, 110 kW",Automatická,SUV,Vysočina
606,"Mazda RX-8, 2,7 170KW DPH Navi",2006,239 999 Kč,119 957 km,"Benzín, 170 kW",Manuální,sedan,Pardubický
607,"Toyota Corolla, 1.6i 16V GL",1988,99 000 Kč,149 038 km,"Benzín, 70 kW",Manuální,hatchback,Jihomoravský
608,"Peugeot 206, SW 1.6i 80kw",2006,59 999 Kč,171 843 km,"Benzín, 80 kW",Manuální,kombi,Ústecký
609,"Peugeot 207, 1,6Hdi 80kw",2007,59 999 Kč,191 219 km,"Nafta, 80 kW",Manuální,hatchback,Ústecký
610,"Ford Focus, 1.6Tdci 85kw",2012,169 999 Kč,215 424 km,"Nafta, 85 kW",Manuální,kombi,Ústecký
611,"Seat Ibiza, 1.4 16v 63Kw. Klima, Reference",2013,129 900 Kč,158 000 km,"Benzín, 63 kW",Manuální,hatchback,Středočeský
612,"Audi A8, 4,2FSI Quattro S Line Bezklí�",2006,299 000 Kč,230 000 km,"Benzín, 257 kW",Automatická,sedan,Moravskoslezský
613,"BMW X5, 3.0D INDIVIDUAL KOUP.CZ-TOP-NE",2017,999 900 Kč,144 000 km,"Nafta, 190 kW",Automatická,SUV,Karlovarský
614,"Renault Ostatní, 1.5DCI Grandtour Energy Editio",2017,299 990 Kč,160 000 km,"Nafta, 81 kW",Manuální,kombi,Praha
615,"Peugeot 208, 1.4HDi 5P Active,ČR,plný ser",2012,119 990 Kč,200 000 km,"Nafta, 50 kW",Manuální,hatchback,Praha
616,"Opel Zafira, 1.6CNG CZ 1.maj serviska",2008,119 900 Kč,198 672 km,69 kW,Manuální,kombi,Moravskoslezský
617,"Hyundai i10, 1.0i",2014,109 900 Kč,160 212 km,"Benzín, 48 kW",Manuální,hatchback,Karlovarský
618,"Peugeot 308, SW 1,6 i 88 kW SPORT PLUS",2009,79 000 Kč,214 858 km,"Benzín, 88 kW",Manuální,kombi,Středočeský
619,"Škoda Octavia, 1.8 TSI 4X4 Elegance Combi",2009,165 000 Kč,243 761 km,"Benzín, 118 kW",Manuální,kombi,Středočeský
620,"Škoda Octavia, 1.8TSi 118kW CZ",2011,109 000 Kč,350 263 km,"Benzín, 118 kW",Manuální,kombi,Středočeský
621,"Opel Vectra, 3.2 V6 Elegance Caravan",2004,85 000 Kč,332 861 km,"Benzín, 155 kW",Automatická,kombi,Praha
622,"Škoda Fabia, 50 kW",2002,55 000 Kč,147 100 km,"Benzín, 50 kW",Manuální,kombi,Moravskoslezský
623,"Audi A4, 2.0TDi 105kW AUTOMAT 8ST.",2011,199 990 Kč,247 857 km,"Nafta, 105 kW",Automatická,kombi,Praha
624,"Volkswagen Polo, 1.2HTp 44kW ČR Cebia",2007,79 990 Kč,108 153 km,"Benzín, 44 kW",Manuální,hatchback,Praha
625,"Peugeot 207, 1.4i 1.maj. ČR",2008,79 990 Kč,143 424 km,"Benzín, 54 kW",Manuální,kombi,Praha
626,"Suzuki Swift, 1.0i NOVÁ STK",1999,29 000 Kč,59 027 km,"Benzín, 39 kW",Manuální,hatchback,Praha
627,"Volkswagen Beetle, 1.2i / PIONEER HUDBA /",1969,229 000 Kč,30 448 km,"Benzín, 34 kW",Manuální,kupé,Praha
628,"Porsche Cayenne, 4.2 S V8 Diesel",2014,899 000 Kč,122 000 km,"Nafta, 281 kW",Automatická,SUV,Praha
629,"MINI Countryman, Cooper S 135kW ALL4 automat",2011,269 000 Kč,150 000 km,"Benzín, 135 kW",Automatická,hatchback,Středočeský
630,"Citroen C3, 1.1i 120.000 KM Elegance",2007,79 900 Kč,120 663 km,"Benzín, 44 kW",Manuální,hatchback,Jihomoravský
631,"Lancia Ostatní, 1.2i 109.000 KM Oro",2005,49 900 Kč,109 364 km,"Benzín, 44 kW",Manuální,hatchback,Jihomoravský
632,"Citroen C4, 1.6i 16V Elegance",2006,49 900 Kč,162 774 km,"Benzín, 80 kW",Manuální,hatchback,Jihomoravský
633,"MINI Cooper, 1,6i JCW Roadster REZERVACE",2012,339 900 Kč,142 266 km,"Benzín, 155 kW",Manuální,kabriolet,Středočeský
634,"Opel Insignia, 2,0 Turbo 220PS Navi Automat",2013,247 800 Kč,162 327 km,"Benzín, 162 kW",Automatická,kombi,Středočeský
635,"Volvo XC60, 3,0 T6 210kW AWD Automat",2009,299 800 Kč,247 498 km,"Benzín, 210 kW",Automatická,SUV,Středočeský
636,"Mercedes-Benz Třída S, S 350 CDI AMG Automat 1.maj.Č",2010,499 900 Kč,153 510 km,"Nafta, 173 kW",Automatická,sedan,Středočeský
637,"Fiat 127, 900 Super 45kW REZERVACE",1982,149 900 Kč,39 027 km,"Benzín, 45 kW",Manuální,hatchback,Středočeský
638,"Hyundai ix20, 1.4i-66KW-KLIMA-1.MAJITEL-VÝH",2012,189 900 Kč,67 600 km,"Benzín, 66 kW",Manuální,,Královéhradecký
639,"Ford Ostatní, 1.0i EB-92KW-M/T-KLIMA-PARK. S",2015,268 000 Kč,55 500 km,"Benzín, 92 kW",Manuální,SUV,Královéhradecký
640,"Škoda Fabia, 1.6TDi-66KW-AMBI-KLIMA-",2011,89 000 Kč,208 000 km,"Nafta, 66 kW",Manuální,kombi,Královéhradecký
641,"Volkswagen Golf, 1,4 16V digi klima, edice spec",2003,78 900 Kč,179 000 km,"Benzín, 55 kW",Manuální,hatchback,Vysočina
642,"Ford C-Max, 1,6 Ti-VCT vyhř.čelní sklo,",2012,215 000 Kč,74 000 km,"Benzín, 77 kW",Manuální,MPV,Vysočina
643,"Peugeot 206, 1,2",2005,55 000 Kč,105 961 km,"Benzín, 44 kW",Manuální,hatchback,Jihočeský
644,"Volkswagen Golf, 1.9 TDi",2003,69 000 Kč,258 000 km,"Nafta, 77 kW",Manuální,hatchback,Jihočeský
645,"Renault Megane, 1,6 16 V",2003,39 000 Kč,222 000 km,"Benzín, 66 kW",Manuální,hatchback,Jihočeský
646,"Peugeot 206, 1.1",2004,35 000 Kč,248 000 km,"Benzín, 44 kW",Manuální,hatchback,Jihočeský
647,"Peugeot 308, 1.6THP 110kW SW",2008,69 000 Kč,142 700 km,"Benzín, 110 kW",Manuální,kombi,Středočeský
648,"Hyundai i30, 2.0 CRDi kombi",2010,80 000 Kč,223 643 km,"Nafta, 103 kW",Manuální,kombi,Středočeský
649,"Peugeot 5008, 1.6HDI 84kW",2014,219 000 Kč,219 000 km,"Nafta, 84 kW",Manuální,MPV,Středočeský
650,"Mazda 6, 2,2D 76000km",2011,242 000 Kč,76 021 km,"Nafta, 95 kW",Manuální,kombi,Praha
651,"Toyota Auris, Touring 1.8 hybrid  Black Edit",2017,396 000 Kč,89 000 km,"Hybrid, 73 kW",Automatická,kombi,Praha
652,"Volkswagen Touran, 2,0tdi 110kw DSG Highline",2018,466 000 Kč,164 900 km,"Nafta, 110 kW",Automatická,MPV,Praha
653,"Toyota Auris, Touring 1.8vvti hybrid",2017,360 000 Kč,135 718 km,"Hybrid, 73 kW",Automatická,kombi,Praha
654,"Renault Ostatní, 1,5cdi 81kw Business Energy",2018,375 000 Kč,54 696 km,"Nafta, 81 kW",Manuální,SUV,Praha
655,"Nissan Leaf, ,Visia,digiklima,",2016,292 000 Kč,78 430 km,80 kW,Automatická,hatchback,Praha
656,"Volvo V40, 2,0d R-design ,xenon,kůže,v�",2016,277 000 Kč,170 000 km,"Nafta, 88 kW",Manuální,hatchback,Praha
657,"Smart ForTwo, 1,0j klima automat",2009,130 000 Kč,114 500 km,"Benzín, 52 kW",Automatická,kupé,Jihočeský
658,"Mercedes-Benz GLE, AMG GLE 43 4MATIC Kupé  287kW",2017,1 799 980 Kč,47 257 km,"Benzín, 287 kW",Automatická,SUV,Středočeský
659,"Ford S-Max, 2.0Tdci 132kW ST-Line Alcantar",2018,579 980 Kč,115 782 km,"Nafta, 132 kW",Automatická,MPV,Středočeský
660,"Škoda Superb, 1.8 TSi",2008,189 000 Kč,132 583 km,"Benzín, 118 kW",Manuální,limuzína,Karlovarský
661,"Audi A1, 1.6 TDi",2014,235 000 Kč,138 000 km,"Nafta, 66 kW",Manuální,hatchback,Karlovarský
662,"Volkswagen CC, 3.6 i 4x4 DSG",2009,239 999 Kč,231 000 km,"Benzín, 220 kW",Manuální,kupé,Karlovarský
663,"Volkswagen Polo, CROSS 1.6 TDi",2011,179 999 Kč,164 000 km,"Nafta, 66 kW",Manuální,hatchback,Karlovarský
664,"BMW Řada 5, 3.0 530d Touring",2011,275 000 Kč,267 000 km,"Nafta, 180 kW",Automatická,kombi,Karlovarský
