,Name,Year,Price,Mileage,Engine,Gearbox,Body,Location
5497,"Škoda Octavia, 1,6i 75kW KLIMA ELE.ŠÍBR",2004,76 500 Kč,180 299 km,"Benzín, 75 kW",Manuální,Kombi,Středočeský
5498,"Škoda Fabia, 1,2HTP 51kW",2008,68 900 Kč,125 158 km,"Benzín, 51 kW",Manuální,Kombi,Středočeský
5499,"Ford Grand C-MAX, 1,6i 110kW KLIMA",2011,199 000 Kč,159 827 km,"Benzín, 110 kW",Manuální,MPV,Středočeský
5500,"Ford Mondeo, 1,8TDCI 92kW KLIMA",2010,139 000 Kč,179 405 km,"Nafta, 92 kW",Manuální,Liftback,Středočeský
5501,"Škoda Fabia, 1.4 16V Ambiente",2006,49 000 Kč,252 614 km,"Benzín, 55 kW",Manuální,hatchback,Středočeský
5502,"Ford Fiesta, 1,25 16V Zetec Ghia",1998,49 000 Kč,140 963 km,"Benzín, 55 kW",Manuální,hatchback,Středočeský
5503,"Citroen C4 Picasso, 2,0i automat",2006,89 000 Kč,151 663 km,"Benzín, 103 kW",Automatická,MPV,Středočeský
5504,"Mercedes-Benz Třída E, E 250 CDI 4 MATIC Avantgarde",2012,329 000 Kč,148 917 km,"Nafta, 150 kW",Automatická,kombi,Středočeský
5505,"Opel Meriva, 1,6i Enjoy 64 KW",2003,47 000 Kč,111 400 km,"Benzín, 64 kW",Manuální,hatchback,Karlovarský
5506,"Alfa Romeo Ostatní, 2,2 JTD 210HP Q4 8AT",2017,699 900 Kč,105 098 km,"Nafta, 154 kW",Automatická,SUV,Praha
5507,Ostatní Ostatní,2021,83 490 Kč,0 km,,,,Jihomoravský
5508,"Škoda Ostatní, 2.0 TDi 147kW SportLine SKLADE",2021,1 399 900 Kč,5 000 km,"Nafta, 147 kW",Automatická,SUV,Liberecký
5509,"Škoda Fabia, 1.2",2013,109 000 Kč,162 695 km,"Benzín, 44 kW",Manuální,hatchback,Liberecký
5510,"Dacia Sandero, 1.2 55kW",2013,119 000 Kč,64 410 km,"Benzín, 55 kW",Manuální,hatchback,Liberecký
5511,"Škoda Fabia, 1.2",2009,69 000 Kč,130 670 km,"Benzín, 44 kW",Manuální,hatchback,Liberecký
5512,"Toyota Aygo, 1.0i50kW,Klima,Servisní kniha",2006,59 900 Kč,167 266 km,"Benzín, 50 kW",Manuální,hatchback,Vysočina
5513,"Škoda Ostatní, 2.0TDI Sport Line LED Navi Ser",2019,549 000 Kč,125 000 km,"Nafta, 110 kW",Manuální,SUV,Jihomoravský
5514,"Volkswagen Golf, 2.0TDI DSG BiXenon Adaptiv Pan",2014,369 000 Kč,224 600 km,"Nafta, 110 kW",Automatická,kombi,Jihomoravský
5515,"Renault Megane, 1.6i 82Kw 1.Majitel",2007,59 800 Kč,233 200 km,"Benzín, 82 kW",Manuální,kombi,Jihočeský
5516,"Fiat Ulysse, 2,2 JTD 94 KW",2005,82 800 Kč,135 820 km,"Nafta, 94 kW",Manuální,MPV,Jihočeský
5517,"Volkswagen Ostatní, 1,4 TSI Comfortline",2016,348 900 Kč,148 578 km,"Benzín, 92 kW",Manuální,MPV,Jihočeský
5518,"BMW Řada 1, 2.0 118d 105kW",2007,129 000 Kč,185 557 km,"Nafta, 105 kW",Manuální,hatchback,Praha
5519,"Volkswagen Golf, 1.6TDI CLBMT 77kW",2013,229 000 Kč,216 656 km,"Nafta, 77 kW",Manuální,hatchback,Praha
5520,"Seat Toledo, 1.8i 66kW ČR",1995,23 900 Kč,168 942 km,"Benzín, 66 kW",Manuální,liftback,Plzeňský
5521,"Honda Accord, 2,4  Automat",2017,399 000 Kč,2 921 km,"Benzín, 138 kW",Automatická,sedan,Praha
5522,"Honda FR-V, 2.2 i-CTDi 103Kw BEZ KOROZE",2006,89 900 Kč,176 000 km,"Nafta, 103 kW",Manuální,MPV,Vysočina
5523,"Hyundai i30, 1.6i 88Kw AT Klima 2 sady kol",2013,244 000 Kč,47 000 km,"Benzín, 88 kW",Automatická,hatchback,Vysočina
5524,"Suzuki Jimny, 1.3i 4x4 UNIKÁT BEZ KOROZE",1999,179 900 Kč,158 000 km,"Benzín, 59 kW",Manuální,terénní,Vysočina
5525,"Škoda Fabia, Com. 1.2TSi JOY Dig. klima Alu",2016,257 000 Kč,92 000 km,"Benzín, 66 kW",Manuální,kombi,Vysočina
5526,"Volkswagen Sharan, 2.0TDI 103kW/140PS DSG",2012,309 000 Kč,180 000 km,"Nafta, 103 kW",Automatická,MPV,Plzeňský
5527,"Opel Ostatní, ENJOY 1.6 D 88 kW",2018,450 000 Kč,52 799 km,"Nafta, 88 kW",Manuální,SUV,Jihomoravský
5528,"Peugeot 807, 2.0 HDI 100kw 7sedadel",2010,99 000 Kč,230 319 km,"Nafta, 100 kW",Manuální,MPV,Vysočina
5529,"Škoda Octavia, 2.0TDI 110kW 4x4 Combi Xenon G",2015,238 000 Kč,265 253 km,"Nafta, 110 kW",Manuální,kombi,Vysočina
5530,"Peugeot 206, 1.9D Contact",2003,13 000 Kč,190 000 km,"Nafta, 51 kW",Manuální,hatchback,Ústecký
5531,"Mercedes-Benz CLS, 350CDi 165kW Grand Edition",2010,339 000 Kč,186 000 km,"Nafta, 165 kW",Automatická,sedan,Ústecký
5532,"Seat Altea, 2.0 TDi 125kW FR/1Maj/ServKnih",2007,119 900 Kč,164 388 km,"Nafta, 125 kW",Manuální,hatchback,Zlínský
5533,"Suzuki Swift, 1.3 GLX 50 kw",2000,24 900 Kč,57 288 km,"Benzín, 50 kW",,hatchback,Středočeský
5534,"Škoda Ostatní, 1.5 TSi DSG",2020,569 900 Kč,4 772 km,"Benzín, 110 kW",Automatická,hatchback,Moravskoslezský
5535,"Kia Ostatní, 1,4i Serv.kn ČR  2.MAJ.",2010,139 900 Kč,92 001 km,"Benzín, 66 kW",Manuální,kombi,Praha
5536,"Škoda Fabia, 1.6 TDI  55kW 1 MajServisní k",2013,139 000 Kč,139 275 km,"Nafta, 55 kW",Manuální,kombi,Ústecký
5537,"Volkswagen Golf, 1.6 TRENDLINE",1999,55 000 Kč,167 680 km,"Benzín, 74 kW",Manuální,hatchback,Královéhradecký
5538,"Dacia Sandero, 0.9 TCe 66KW klima,garance km",2015,159 000 Kč,91 409 km,"Benzín, 66 kW",Manuální,hatchback,Vysočina
5539,"Škoda Octavia, 1.9 TDi 74KW  4x4,EURO 3,nová",2001,66 000 Kč,245 800 km,"Nafta, 74 kW",Manuální,kombi,Vysočina
5540,"Cadillac Escalade, 6.2, V8, Platinium",2015,1 299 990 Kč,125 000 km,"Benzín, 254 kW",Automatická,SUV,Středočeský
